"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",902390,359.453970662161,140.609241082107,278.0107317032,1,2,2,2,2,4,1,2,1,2,2,2,7,4,3,3,5,4
"2",903141,354.372288713811,104.124131260452,258.511761006172,3,4,2,2,2,2,2,2,2,4,4,2,6,5,3,3,4,4
"3",903309,355.13961868585,130.215396888298,261.162373101423,1,2,4,2,2,4,2,3,2,6,1,1,7,5,3,3,4,4
"4",904788,354.3124642375,138.560664877301,264.805183340445,2,2,2,2,2,2,2,4,2,3,6,6,6,3,3,3,3,3
"5",905864,346.255101105128,151.32407345367,255.53111113978,2,1,1,2,2,2,2,2,1,2,2,1,4,4,2,3,4,4
"6",907116,362.087747914898,122.482246984803,276.131002566739,1,4,1,1,2,2,2,2,1,2,2,1,5,5,2,3,3,5
"7",909350,365.9509292851,149.595487623642,252.423820436913,2,1,2,3,2,1,2,2,2,2,2,2,4,6,2,3,3,4
"8",911127,346.762952828796,160.070903711062,244.651447121231,1,2,1,1,3,1,2,2,2,2,2,2,4,4,2,3,4,4
"9",912630,348.388189493433,141.998719584496,249.416707970569,1,2,1,1,1,1,1,6,2,1,1,4,4,5,2,3,4,4
"10",915138,371.121663684833,156.430905191952,266.226430687665,2,1,4,1,1,3,2,4,6,2,1,4,6,5,3,3,4,4
"11",920449,358.841155954291,150.758851829532,267.061728711077,2,1,3,1,2,4,3,3,1,4,1,3,6,4,2,2,4,4
"12",921279,370.419128256779,156.426150294213,278.125811355488,2,1,1,3,1,1,1,2,1,4,1,1,6,4,3,3,4,5
"13",921801,361.880510848859,130.102311932755,267.064792336588,1,1,6,2,1,1,6,1,7,2,2,6,8,4,3,2,5,3
"14",922919,366.6996428948,130.413645790095,282.131761024016,2,4,3,1,1,1,1,1,1,2,1,4,6,5,3,3,4,4
"15",925096,354.061884678114,134.186314287817,278.070565988962,3,2,4,3,3,2,3,2,4,6,2,4,4,4,3,2,4,3
