"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",3794,361.539248352338,117.625333190875,269.074446670879,2,1,2,1,2,1,2,1,1,1,1,1,4,4,3,3,4,3
"2",4412,352.932742404494,111.168400290462,265.013830919279,2,2,2,2,2,2,2,4,4,2,4,4,5,4,3,2,3,4
"3",8005,361.215692986205,139.031300358368,252.620023024815,2,2,2,2,2,4,5,4,4,2,4,3,7,4,3,2,4,4
"4",17379,363.599679967856,117.977515717513,279.346906578319,2,1,3,2,2,3,2,2,1,2,2,3,6,5,3,3,4,4
"5",18502,370.102934084805,116.791825820613,274.440859064329,1,1,3,4,2,1,3,2,4,1,2,1,6,4,3,3,4,3
"6",23298,366.333632879254,133.270928922506,293.301215997795,2,1,1,1,2,1,1,2,2,1,2,2,6,5,3,3,5,5
"7",24835,349.786286582238,153.622592174609,237.594313591971,1,2,1,2,3,1,2,1,1,1,1,2,4,5,3,3,4,5
"8",25779,371.642323382208,131.730001853905,268.607458835656,2,2,1,2,4,2,1,2,1,1,2,2,6,6,3,3,5,4
"9",28553,359.758458914214,155.378716221191,273.104315129126,1,2,1,2,1,1,1,2,2,1,1,4,6,5,3,3,4,5
"10",30181,359.365418664945,130.75571823534,261.412185214294,1,2,2,4,2,2,3,2,3,2,2,2,4,5,3,3,4,3
"11",31718,344.780946147617,153.768689652203,231.727040907192,1,2,2,2,3,2,2,2,2,2,2,2,4,5,2,3,3,5
"12",32769,360.253813189195,151.766240434219,258.978699784652,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,3,4
"13",36391,360.457147760869,137.844504562266,243.02069428598,1,2,5,1,1,1,1,1,1,1,2,1,6,5,3,3,4,4
"14",38050,356.21604086368,135.036572946213,260.618431700731,1,2,6,1,1,2,1,2,2,2,2,2,6,5,3,3,4,5
"15",38344,360.109097335059,138.128638092023,284.510686229028,2,1,4,2,4,2,2,2,3,1,2,2,5,5,3,2,4,3
"16",38391,362.78539065048,148.679643407012,271.76420868828,1,3,1,2,2,1,1,2,2,4,2,1,5,5,3,3,4,4
"17",38766,356.64504195406,150.153750403813,242.53652702665,1,1,4,2,2,1,2,1,1,1,2,2,4,4,3,3,4,4
"18",42346,347.86467873405,132.310491328929,251.851983290986,3,4,2,4,1,6,3,2,2,2,1,2,5,4,3,3,3,3
"19",42866,353.78711439798,114.175159041487,254.372246264056,2,2,2,2,1,1,1,2,1,6,2,2,4,6,2,2,4,4
"20",45496,356.839107666649,132.771350090894,252.805645140444,1,2,3,2,1,2,2,3,1,2,2,2,6,4,3,3,3,3
"21",50025,354.526642857582,109.355814728235,263.880075441243,1,2,1,2,1,2,2,2,1,3,1,1,4,4,2,2,3,4
"22",50778,353.844108178393,145.43062303278,267.782414448005,2,4,2,1,1,1,2,2,1,1,1,2,5,4,3,3,4,4
"23",51299,362.599521818687,150.365505099963,252.038171056333,1,1,1,2,2,2,8,1,1,1,1,1,5,4,3,3,3,5
"24",53312,349.942073128474,155.37919492286,243.74197168385,2,2,1,2,2,1,1,4,1,2,4,2,6,6,3,3,3,5
"25",56245,359.63158375351,161.619234187965,238.489877117674,2,1,1,1,1,2,4,1,1,1,1,3,5,5,3,3,4,4
"26",59105,366.43561214931,108.940578237757,278.182026143713,1,2,4,1,2,1,2,4,2,2,4,4,5,4,3,3,3,3
"27",60645,363.099239673178,121.388386989315,270.227452404558,1,4,2,1,2,1,2,2,3,2,4,2,4,6,2,3,3,4
"28",61703,355.405297681161,143.429713255755,230.590868770493,2,2,3,1,2,2,2,2,2,1,2,2,5,5,3,3,3,4
"29",63080,367.303554061823,114.059865389023,291.259902112379,1,2,2,2,1,2,2,1,1,4,2,1,5,6,3,3,5,4
"30",64064,363.067851045517,146.238964406699,254.509088311317,1,2,1,2,2,2,2,2,2,1,1,1,6,4,2,2,4,4
"31",64399,362.928583918095,157.308088510235,250.284499277347,4,2,1,2,2,1,2,2,4,2,2,2,5,4,3,3,4,4
"32",69559,353.572768294362,140.848902101296,274.966714739941,2,4,1,1,2,2,2,1,2,2,1,2,6,4,3,3,4,4
"33",73200,358.49520208415,139.21212780834,267.141371555763,1,2,1,1,1,1,2,1,2,4,1,2,5,6,2,3,4,4
"34",75646,365.859703047561,139.179650835212,241.412818135928,2,4,2,4,2,4,2,2,4,2,2,2,5,6,2,2,5,4
