"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",403907,344.594119854092,108.520935254124,250.017387825079,2,1,2,2,2,2,2,6,2,1,2,2,6,4,2,3,4,3
"2",404358,352.904922461448,146.038034217174,244.584552467618,1,2,3,8,2,2,1,2,2,2,2,1,4,4,3,3,4,4
"3",406017,363.9798604909,134.615338116421,274.543527988424,2,2,2,1,1,1,2,4,1,4,2,4,6,5,2,3,4,4
"4",407654,345.498609629906,152.567394673159,247.586098222533,1,1,1,1,2,1,2,3,1,1,2,4,6,5,3,3,4,4
"5",410891,354.452015659325,135.133481607038,266.557112482252,2,2,1,3,2,2,4,2,1,2,1,1,4,4,3,3,3,3
"6",411586,360.059453309249,144.314738684768,235.299738508458,1,2,1,2,1,2,2,2,4,2,1,1,5,4,3,3,4,5
"7",414145,359.04413964703,131.414680237096,280.258263419433,2,2,4,2,2,2,2,1,2,4,2,1,4,5,2,2,3,4
"8",417789,362.315738293103,146.52706855111,244.213698588987,1,3,1,1,1,1,4,1,2,1,2,2,4,5,2,3,5,3
"9",420344,347.731562659218,138.540443717546,247.05200710554,2,1,1,2,2,4,2,1,4,1,4,2,6,4,3,2,4,3
"10",421278,362.280426517934,145.952273417383,256.839468144392,2,3,3,3,2,2,2,2,6,4,4,4,7,7,3,3,4,4
"11",421444,366.737278450062,143.942424210527,260.521790462497,1,5,4,2,4,1,2,1,3,1,1,3,5,5,3,3,4,4
"12",425797,362.953358568106,136.44367348125,260.645987075405,2,2,2,4,2,1,4,1,1,2,1,4,5,5,3,2,4,4
"13",426948,366.938259044234,148.869292050787,257.840267037143,2,2,1,1,1,2,2,1,2,2,2,2,4,5,3,3,4,4
"14",429806,363.718922446241,139.606471705823,248.533450531428,2,2,2,2,2,2,2,1,2,1,2,2,5,5,3,3,4,3
"15",429827,366.085705541275,159.830281887584,263.646739607728,2,2,2,2,2,2,3,2,2,4,2,2,5,4,3,2,3,3
"16",432935,353.676908168883,144.084857917103,266.361278301694,1,1,2,2,2,2,1,1,2,1,2,2,4,5,3,3,4,4
"17",433338,354.833472756489,157.02534406167,232.482186289937,1,2,1,2,1,2,2,4,2,3,4,2,7,4,3,3,5,4
"18",434028,367.897218848368,147.507052639907,258.760970143145,2,2,2,3,2,2,2,2,2,2,4,2,4,4,3,3,5,5
"19",436429,349.48424809914,140.570443503522,277.032921634634,1,2,2,2,2,4,2,2,2,2,4,3,5,6,3,3,4,4
"20",439476,366.608242277482,105.640901169954,278.080700576394,2,2,2,2,2,2,2,3,1,2,1,2,6,5,3,3,4,4
"21",440490,358.771157984659,128.436368784104,268.639947676445,2,1,1,2,4,2,2,2,1,2,2,1,6,4,3,2,4,4
"22",447611,354.493842397186,140.599425130786,268.402282262962,2,3,2,1,2,1,3,3,1,2,2,6,5,7,3,3,5,5
"23",454446,344.303465032023,144.165309154583,243.854210611705,2,1,1,1,1,1,1,3,3,2,2,2,5,4,3,2,4,3
"24",455818,365.61192902397,113.509383600164,264.548266151882,2,2,2,1,2,2,2,2,2,1,2,4,4,5,2,2,3,3
"25",458952,364.140355285029,140.409436710484,283.005563126117,1,2,2,2,2,2,2,2,2,6,2,2,4,4,3,3,4,3
