"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",201194,354.888668376646,150.843687908438,241.118913771841,2,2,2,1,2,4,2,1,4,2,2,2,4,5,2,3,4,4
"2",205310,354.940269681143,142.105187440574,273.67459714772,1,2,1,1,2,1,2,2,1,1,2,1,6,4,3,3,4,4
"3",207290,361.658553183675,118.072256907538,285.770034112561,2,2,2,2,1,2,1,2,1,2,2,4,4,4,3,3,4,5
"4",208253,356.145526945989,145.996150747401,257.035483288634,1,1,1,1,1,1,2,4,2,1,1,1,6,5,3,3,3,3
"5",208579,352.685306781888,147.513551695715,252.035646173609,1,2,2,1,2,2,2,3,1,2,1,1,5,4,3,3,4,3
"6",210254,375.66063021151,137.949805220343,254.671559672032,1,1,1,2,1,1,1,2,2,2,6,2,5,6,3,3,4,4
"7",210915,350.446727892998,147.918784953598,266.326804775916,2,2,1,2,2,1,2,2,1,1,2,2,6,6,3,2,4,4
"8",211878,375.446422980597,129.299767022474,287.837649373209,1,2,2,2,2,1,1,2,1,1,2,4,7,5,3,3,5,5
"9",219509,356.664437056958,125.976253829544,256.462231201902,2,2,2,1,2,1,2,2,1,1,2,4,5,4,2,3,3,3
"10",221059,353.551146544797,163.978027151292,242.722369715547,2,1,1,1,1,2,1,1,1,2,1,2,5,5,3,3,4,4
"11",221129,366.693692968409,151.11650587248,252.502679799215,1,2,2,3,2,1,2,1,2,2,1,2,6,4,2,3,4,4
"12",222076,365.914251798726,121.622366364086,296.449848029467,1,2,4,2,2,1,1,2,2,3,1,1,5,5,3,3,5,4
"13",222097,365.087355107657,143.324402310007,244.072201754771,2,2,2,1,2,2,2,2,2,1,2,2,4,4,3,3,4,3
"14",223966,355.218010115962,140.450220586548,236.482103179008,2,4,2,3,4,3,2,4,3,4,4,2,5,7,3,3,3,4
"15",224626,363.840215588298,133.80521182205,244.589012680388,2,4,1,2,1,4,1,1,1,2,2,3,4,5,3,2,3,3
"16",226454,354.516688809749,151.077015004963,233.946698739776,2,3,2,1,2,1,2,2,2,1,1,2,4,5,3,3,4,4
"17",227977,367.263793770739,140.822436698439,297.800060498748,1,2,2,2,2,4,4,2,1,2,4,1,5,6,3,3,5,4
"18",228870,356.299785559973,106.791292553697,268.588843666577,1,2,2,3,2,2,2,1,1,2,2,2,7,5,2,3,5,3
"19",229569,367.595447772603,112.417095255949,269.822776241207,1,1,1,3,1,2,2,1,3,4,2,2,6,4,3,3,4,4
"20",231273,359.729191071688,157.589696353201,252.921050628926,2,1,2,2,3,1,2,2,2,1,1,1,6,4,2,2,4,4
"21",231455,352.418773245038,140.07949337005,237.338583685386,2,2,1,2,4,2,2,1,2,2,2,2,5,5,3,3,4,4
"22",231524,350.915755942356,155.371907860031,256.462585675259,2,4,1,2,2,1,4,2,2,1,2,1,4,6,3,3,3,4
"23",231917,360.976293262481,141.854773834031,253.132311138165,2,1,4,1,1,2,2,3,2,1,1,1,4,5,3,3,3,3
"24",235174,363.112622831408,138.522307777723,273.882462574341,1,1,4,3,2,5,2,2,1,3,1,2,5,6,2,3,3,4
"25",236437,367.117631518701,151.194308782654,264.580222644997,1,2,2,6,2,2,1,1,2,2,2,3,4,6,2,3,4,5
"26",239266,370.444272027097,145.147175237201,253.892181190011,2,1,1,3,1,2,2,2,1,2,1,1,4,4,3,2,3,3
"27",241043,345.322462787733,132.942229421792,239.483845794856,2,2,2,2,4,6,2,7,4,2,1,1,5,5,3,3,3,4
"28",241293,353.833153939037,141.171134642314,280.138867571008,2,1,2,1,1,1,1,2,2,2,2,1,4,5,3,2,3,4
"29",242879,372.809990821328,140.912199379203,254.937004048172,2,2,3,2,4,4,2,4,2,2,2,2,4,4,3,2,3,3
"30",246050,354.193158302683,157.376266495931,251.909369771179,1,3,2,1,4,2,3,1,2,2,1,1,4,4,3,3,3,4
"31",248726,375.696510189535,115.40156264608,285.969743530458,1,3,2,2,4,2,1,2,1,3,3,3,4,5,3,3,3,3
"32",249472,377.342227990446,149.07366862624,256.867782820734,2,2,2,1,1,1,2,1,4,1,3,3,5,4,2,3,4,4
"33",250634,354.444834206774,139.766925230649,243.467309055061,1,2,2,4,2,2,2,4,2,2,2,6,7,6,3,3,5,4
"34",254054,354.179788121866,139.753561139742,243.045382287423,2,1,1,2,1,2,1,2,1,1,1,2,4,4,3,3,4,4
"35",258123,371.290579216435,158.377152121288,271.772236919687,2,4,2,2,4,4,2,6,2,2,2,5,4,6,2,2,4,4
"36",260746,346.439409511692,119.668067089728,274.653771528585,1,1,4,2,1,2,2,2,2,4,3,2,4,4,3,3,3,4
"37",263748,371.989091637807,123.527023844318,282.1472272613,2,3,6,2,2,2,2,2,2,2,2,2,5,6,3,3,4,5
"38",263967,355.304851064663,131.576518289888,283.476732468892,2,2,2,2,2,2,2,2,1,4,2,1,6,6,3,3,4,4
"39",274422,362.219489643622,138.224036612742,260.282649923578,2,2,2,2,2,4,2,2,2,2,2,2,5,6,3,3,4,4
"40",275885,365.448530027381,146.117070690277,263.151466298168,2,2,4,2,2,2,4,1,4,1,2,4,5,6,3,3,3,5
