"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",1571,362.744155451262,136.380726201831,283.953523143815,2,1,3,2,1,7,3,3,1,4,3,1,4,6,3,3,4,4
"2",4657,350.39875749808,104.838797941025,257.482503618055,2,2,4,4,2,2,2,2,2,2,4,2,5,4,3,3,3,3
"3",4704,352.566505068005,113.917688132359,267.670699378518,1,4,2,4,4,2,2,2,4,2,2,2,5,5,3,2,4,4
"4",4757,357.469503987392,134.692303153987,247.614002461242,2,2,2,2,2,3,2,2,2,3,2,2,6,4,3,3,4,5
"5",5678,353.761160499123,135.571761364005,270.254700802382,2,1,2,1,2,2,1,2,1,2,1,1,4,5,3,2,4,5
"6",7282,361.695959256042,136.924181228002,246.460329900932,2,3,2,1,3,1,1,1,3,2,1,1,6,6,3,3,5,4
"7",8009,352.299670523887,109.040442872442,277.516524710878,2,5,4,2,1,2,3,2,1,3,3,4,6,5,3,2,4,4
"8",8662,364.635015069694,152.009134131815,278.420159334713,2,4,2,1,2,1,2,2,2,2,4,2,7,5,3,2,4,4
"9",8951,357.18548553151,123.636831549917,273.641044961466,2,2,2,4,4,2,2,1,2,6,2,1,5,6,3,3,3,3
"10",12278,367.589040205688,154.359139028607,281.103610203465,2,2,1,4,1,4,2,4,6,4,4,2,6,5,3,3,4,4
"11",12978,357.005289680005,150.771843393687,248.86755082019,1,2,1,3,1,2,2,2,1,2,1,1,5,6,3,3,4,4
"12",13074,361.673497796375,151.330135522821,256.107867254057,1,6,4,6,2,1,1,3,2,1,2,1,5,5,3,3,3,3
"13",13364,357.981462191448,158.524341796926,246.247406329421,1,4,1,2,6,1,2,4,1,2,3,1,5,4,3,3,3,4
"14",13735,360.314715512531,169.815407802922,259.598577591641,2,4,4,4,4,4,1,4,4,2,2,1,3,5,3,3,3,4
"15",15363,356.125128905581,145.13026351671,248.33731392524,1,2,2,1,2,1,1,3,2,2,2,3,4,6,3,3,4,5
"16",16499,355.981706280831,152.17280303481,258.793992547185,1,3,2,2,2,1,2,2,2,1,4,2,6,5,2,3,4,4
"17",17127,358.000069255268,152.78884040422,246.374739769917,1,2,2,2,2,2,2,2,2,2,2,2,5,6,3,3,4,5
"18",17720,368.885298753371,113.960773300464,271.459964629583,2,1,2,2,2,2,2,2,2,2,2,1,4,4,3,3,4,4
"19",17832,350.717140152423,133.254556618166,262.792976999635,2,2,2,2,2,2,2,2,2,2,2,2,5,5,3,3,3,3
"20",18848,371.654064691418,120.558068721609,274.512400177551,2,1,4,2,1,2,1,1,2,2,4,3,4,4,2,3,3,4
"21",25548,359.101426773473,119.962390800665,265.106434262926,1,4,4,3,1,1,2,4,3,4,2,2,6,5,3,3,4,3
"22",26264,354.603351916028,136.379211231765,235.641799881175,2,2,2,2,2,2,3,2,2,2,2,2,4,5,2,3,4,5
"23",26699,363.423142033208,144.048201299151,297.875452368883,2,2,3,2,3,2,2,7,2,2,4,2,6,4,3,3,4,3
"24",26946,357.430314539864,134.445847650321,238.990231136154,1,1,2,1,1,1,1,2,1,1,1,2,4,6,3,3,4,4
"25",29150,367.214779406924,133.170616966133,272.067778380789,2,2,2,1,2,1,2,2,4,2,1,1,6,4,3,3,5,5
"26",29535,358.398918977118,122.295672061438,268.766819577464,2,4,2,4,1,1,2,2,4,2,2,2,6,5,3,3,4,4
"27",32566,355.351810310443,138.286802224296,254.531947693594,4,3,4,3,1,4,4,4,1,3,2,3,6,4,3,3,4,4
"28",34994,349.388249316331,141.982247755436,244.276228956192,1,2,2,1,1,2,4,4,4,2,2,2,4,5,2,3,4,4
"29",39872,368.300721540976,171.194201261183,256.165364979101,1,4,1,1,1,4,2,4,2,1,1,1,5,6,2,3,4,5
"30",40271,363.634272721261,120.44408187829,277.149719361483,1,1,2,2,1,1,4,4,2,3,1,2,4,6,2,3,4,3
"31",41011,368.47263486537,134.719543392564,268.72825685636,2,2,6,2,4,5,2,1,6,2,2,1,5,5,3,3,5,4
"32",42088,353.469649883027,144.040455749633,235.288920336377,1,2,1,1,2,2,2,1,2,2,2,2,5,6,2,3,3,4
"33",42708,364.025337416218,129.213066401683,244.321255794615,2,2,3,4,3,3,3,3,3,2,2,4,4,5,3,3,3,3
"34",43720,364.962106037018,138.760272495915,273.232108515758,1,1,1,1,3,3,2,2,2,4,2,1,7,6,3,3,5,4
"35",43851,360.298636464276,136.950856843185,284.444536271794,2,4,2,1,2,4,2,1,2,2,1,1,4,6,2,3,5,5
"36",46761,362.879849432242,147.265375798559,241.001251668503,1,2,2,2,2,2,2,2,2,3,2,2,7,5,3,3,4,3
"37",48632,366.518622755306,133.41218054344,266.853660332883,1,2,2,2,2,2,2,2,2,3,2,2,5,5,3,3,3,3
"38",52363,351.835047751707,156.94785152774,252.347818472051,1,1,2,1,1,2,4,1,2,1,2,2,5,4,3,3,4,3
"39",54196,370.177308420467,127.459084344029,276.846796550602,1,4,2,2,4,1,1,2,2,1,1,3,6,6,2,3,4,4
"40",54576,351.606537232733,122.519824673465,258.725132553596,1,2,1,2,2,3,1,2,1,2,2,1,5,4,3,2,4,3
"41",60236,352.94934433913,143.646835061342,246.946743681459,1,3,1,2,2,1,3,3,2,3,2,4,6,6,3,3,4,4
"42",60528,367.070578931839,154.879478603726,250.14207533168,2,2,4,2,1,2,2,1,2,2,4,2,5,5,3,2,3,4
