"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",1210,357.952787874473,115.176903102421,269.755046521779,1,2,2,1,1,1,2,2,2,2,1,1,4,6,3,3,3,5
"2",2058,361.137459235137,141.582671582938,246.321968968856,1,2,2,2,2,2,2,2,6,2,2,2,8,5,3,3,5,4
"3",6758,357.574404209046,134.689419292762,250.018842265145,4,2,1,1,1,1,2,2,3,2,2,2,6,6,3,3,5,5
"4",6908,364.283174748654,137.886526589352,251.551844712998,4,2,4,2,2,4,3,2,4,2,2,2,5,5,3,3,4,4
"5",10788,364.10472110903,165.03723596873,257.119292505468,1,1,2,2,2,1,1,1,4,1,1,1,4,5,3,2,3,4
"6",11981,349.816268186034,139.495193791432,295.990115984184,1,1,6,1,4,4,1,1,1,1,1,1,5,4,3,2,4,3
"7",15971,367.717597355578,156.227001613223,270.472925273095,2,4,2,2,2,1,1,4,2,2,1,1,4,6,3,3,4,4
"8",19107,344.162752197271,138.427413326734,241.083847421604,1,2,1,2,4,2,1,1,2,1,2,1,5,4,3,3,3,3
"9",24834,347.850376307861,113.321965075598,267.93819442748,2,4,2,1,3,1,1,2,2,3,1,1,5,5,2,3,4,4
"10",25465,368.937630510377,128.341937388221,283.499821446735,1,2,2,1,2,3,2,2,1,2,2,2,5,6,3,2,4,4
"11",26761,353.72744795678,163.581152301938,247.249163315734,1,2,2,6,1,6,2,2,1,4,2,2,6,6,3,3,4,4
"12",29852,361.253991370326,144.575925890542,247.028823559967,2,4,2,1,6,3,6,3,2,3,2,1,5,7,3,2,3,5
"13",38755,362.687033539277,156.512138784111,246.606723414139,1,1,2,1,1,1,2,2,2,1,2,2,5,5,3,3,4,5
"14",39098,356.35071868981,147.099449128419,255.218201894991,2,1,2,2,2,1,2,1,2,4,4,1,6,6,3,2,4,4
"15",44191,364.091896491681,122.755350323551,286.733584988453,2,1,2,1,1,1,1,1,1,1,1,1,4,4,3,2,4,4
"16",46104,342.835044545617,119.879002359094,260.005530773978,2,2,1,1,2,1,4,2,1,2,4,4,4,5,2,3,3,4
"17",47693,365.219010485263,165.616404345795,258.959392457869,1,2,2,2,3,1,4,1,2,4,2,2,4,5,3,2,5,3
"18",50217,354.449753983796,119.018020720386,264.788360833814,1,2,2,2,2,2,1,1,2,2,2,2,4,4,3,3,3,3
"19",52261,363.980473547644,148.539723935306,239.273452610119,2,4,1,1,3,1,1,1,4,1,3,4,4,4,2,2,3,3
"20",52581,358.319655065992,152.276716365659,246.578705186072,1,1,2,1,1,2,2,1,1,1,2,6,4,6,3,3,4,4
"21",59401,356.210310243776,120.144059534054,282.997211095098,1,2,1,1,1,4,2,2,1,2,1,1,5,6,2,3,4,4
"22",61229,354.409134632199,160.330598534548,239.859738628383,2,1,1,2,2,2,2,1,1,2,2,4,6,4,3,3,5,3
"23",61432,350.249804596426,137.294218666843,270.826619539586,2,2,3,2,1,1,1,2,1,3,1,1,4,6,3,3,4,4
"24",63250,354.206924628169,131.093178646348,269.080865905947,2,4,2,3,3,1,1,4,4,2,1,4,7,7,3,3,5,5
"25",63360,349.590102361925,146.605221288639,232.99817329827,1,2,2,1,1,4,1,2,2,2,1,3,4,6,2,3,4,4
"26",67219,359.69027080127,132.514025454473,279.120638037592,1,3,3,1,1,1,1,2,2,2,2,2,4,6,2,3,4,4
"27",71295,361.306993845473,110.182868281825,287.424557115529,3,1,1,2,2,4,3,2,1,3,1,1,6,5,3,3,3,4
"28",73704,358.770443884329,136.333693682295,275.310343292741,2,1,1,1,2,2,2,2,2,2,2,1,6,6,3,3,4,4
"29",74349,363.247314608447,140.103385675315,265.927474112028,1,4,1,2,2,1,1,1,2,4,3,2,6,5,2,3,4,3
"30",76294,363.347589883819,129.629797105143,261.038422174284,1,3,3,2,2,2,2,4,3,2,2,2,6,5,2,3,5,5
"31",77704,367.758140068683,140.16118230378,242.986276523001,2,2,3,1,1,1,2,1,4,1,2,3,4,5,2,3,4,4
"32",80154,339.446340651683,145.763081859083,236.457498845629,2,2,1,2,1,2,4,4,2,2,6,3,6,4,3,3,5,4
"33",83129,359.528685966861,158.64311004149,251.298742239669,2,4,2,2,2,1,2,3,2,1,2,2,5,4,2,3,3,4
"34",83325,360.209649697974,131.050617941351,264.294882894026,2,1,2,4,3,4,2,5,2,1,2,6,5,4,3,3,4,5
"35",86525,365.458729057917,150.081465481224,250.161336370903,1,4,1,6,1,2,4,3,2,1,4,6,6,5,3,3,4,3
"36",86720,354.28008717015,117.21415027544,255.278392840522,1,3,4,1,3,1,4,4,2,2,2,6,6,6,3,3,4,4
