"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",701589,345.80295827308,136.646736435644,270.052795572818,1,1,1,2,2,1,1,1,2,1,2,2,5,5,3,3,4,5
"2",703555,369.033089962951,124.336985448471,289.621325866543,1,2,3,2,4,2,2,4,2,3,4,2,5,4,3,2,3,3
"3",704714,367.559294142787,137.091511935014,263.772911346731,2,1,1,2,2,3,2,1,2,1,4,2,5,5,3,3,3,3
"4",706388,354.814000860467,165.773718121525,240.027581059805,2,1,1,4,1,1,1,4,1,2,1,1,5,5,3,3,5,5
"5",712838,372.647042362902,118.592363836508,295.655456165332,2,1,1,1,1,1,1,3,3,1,2,6,4,5,3,3,3,4
"6",715647,373.590463891604,160.503958397159,260.629942528,1,2,3,4,2,2,2,2,4,2,4,2,7,4,3,3,5,4
"7",716571,354.622299364566,122.992440807831,281.99188195337,2,1,4,2,2,2,2,2,4,3,2,1,4,4,2,2,4,3
"8",716652,369.773953733229,146.119389654686,262.029775609157,2,2,2,2,2,2,1,1,2,2,2,2,6,4,3,3,4,4
"9",716785,353.067712935289,142.374085300975,268.518771370853,1,2,4,2,2,4,2,2,6,3,2,4,6,4,3,3,4,3
"10",717516,343.036007555094,120.097136993559,264.466467433386,1,1,1,3,2,2,2,2,1,2,2,1,4,4,2,2,3,3
"11",723761,342.435612576044,151.994019021085,263.145247890976,2,1,2,4,2,4,4,3,4,1,4,3,4,5,3,2,2,4
"12",724136,370.162394560965,119.001423701463,280.87972779751,2,1,1,1,2,1,2,4,4,2,1,4,5,4,3,3,4,4
"13",727018,357.164082486162,147.510750413667,244.722038306847,1,2,2,1,6,3,2,4,1,5,3,2,5,6,3,3,3,4
"14",729796,354.11976775853,153.377404134943,232.86977171482,1,2,2,3,1,2,1,2,2,1,1,2,5,6,3,3,3,5
"15",730795,346.072843810578,109.263121647087,260.014970961226,1,1,2,1,1,2,2,2,1,2,1,2,5,5,3,3,3,4
"16",733563,361.377506880739,124.10792424138,287.285040012313,1,2,2,2,2,2,1,2,3,1,2,2,5,5,3,3,3,4
"17",736225,354.332733388285,118.717248637117,268.508614448509,1,4,1,4,2,2,6,1,2,2,2,3,7,5,3,3,5,4
"18",736292,368.728864081199,123.645454211255,281.733212997306,1,4,1,2,1,4,1,1,1,3,1,1,4,5,3,2,4,4
"19",739729,358.707643567459,135.180075797293,266.255454295586,2,1,2,1,3,2,1,2,2,2,1,4,4,4,3,3,4,3
"20",740750,350.59903871861,157.127836568806,252.136621761016,2,2,4,6,1,2,1,4,2,2,2,3,6,4,2,2,4,3
"21",744417,354.735962803019,160.382085106599,254.466578688482,2,2,2,1,1,2,2,2,6,2,2,2,5,4,3,3,3,3
"22",746595,348.9748149761,145.316752914748,226.884759767764,2,1,2,2,1,1,1,2,3,2,1,1,3,4,3,2,3,3
"23",748713,366.955353421855,127.5669974679,279.043762674609,2,4,3,1,1,4,4,3,1,2,1,3,6,5,3,3,3,4
"24",758399,350.764737147916,147.223055596512,242.329534530534,2,4,2,1,1,2,2,2,2,2,4,6,5,5,3,3,4,3
"25",763298,364.9111518717,155.175134329085,244.50685737988,1,1,1,1,1,1,1,2,1,4,2,1,6,6,3,3,4,3
"26",763584,360.42961050978,131.42945818704,251.075076849288,1,2,2,2,2,2,2,1,1,2,1,2,4,4,3,3,3,3
"27",764596,350.641183647075,128.465964878762,235.893203178441,2,3,2,4,1,2,1,2,2,2,4,1,4,6,3,3,4,4
"28",766107,354.620761233068,120.571435565727,272.654899488119,2,2,2,3,2,4,2,2,3,2,2,4,5,6,3,3,3,4
"29",768962,360.550428609159,157.341603415274,241.837217295894,1,2,1,3,2,2,2,4,1,2,1,4,7,6,3,3,5,4
"30",769573,354.980432472012,154.799790718888,228.514100691568,1,3,1,2,2,2,1,2,2,1,1,2,4,5,3,2,5,5
"31",773339,360.16951931643,137.010345269048,280.09343187321,2,2,1,2,3,2,1,2,2,3,1,1,5,5,3,3,3,3
"32",776013,364.849272625748,149.971787980549,248.515892369745,2,2,4,1,1,1,4,4,4,2,1,2,5,5,3,3,3,3
"33",779583,357.278972880871,134.082804069379,283.279437427819,2,2,1,1,2,1,1,1,2,1,1,2,5,6,3,3,3,4
"34",779659,347.947179424437,146.976188547669,241.559259878519,1,2,3,2,2,2,4,2,1,2,1,1,4,5,3,3,4,4
"35",783569,350.811997872421,135.155313168539,233.811819509085,1,2,2,4,3,2,2,2,1,2,1,2,4,5,3,3,3,4
"36",785050,356.374002632159,119.314017243339,262.301636976079,1,2,1,2,1,2,2,4,2,2,2,2,6,5,3,3,4,4
"37",786225,351.902949618802,109.034455089638,265.435086459886,1,4,3,1,1,1,1,1,1,4,2,4,5,5,3,3,3,3
"38",786567,356.123852538843,126.513710752094,280.696801219529,2,1,1,2,2,2,1,2,2,1,3,6,5,6,3,3,5,4
"39",786727,363.253935267883,134.488440008306,274.955473480151,2,1,1,1,1,2,2,2,1,1,1,2,5,5,3,3,3,3
"40",788141,364.123673477538,143.147326292856,242.173423277924,2,2,1,2,2,1,2,2,2,2,1,1,6,5,3,3,5,4
"41",791442,358.556656657017,150.862369547394,247.010790409068,1,1,1,1,1,1,2,2,2,2,2,1,5,6,3,3,4,4
"42",792697,362.533349848074,124.634937993305,271.585184420458,1,1,1,2,2,1,1,4,3,1,2,1,6,5,3,3,4,3
"43",794400,352.707309650639,142.401132876913,247.693659104004,1,1,3,2,2,3,1,4,1,1,1,1,5,5,3,3,3,4
"44",795019,356.161352607086,155.370418491258,258.46252345951,2,2,1,4,1,2,3,2,4,1,1,2,5,7,3,3,4,4
"45",795633,356.648494683954,112.044855244571,266.76677528638,3,1,4,2,1,1,1,1,1,2,2,1,5,5,2,3,3,3
"46",795673,352.371399670554,149.169990113338,244.896199971193,1,3,2,2,2,2,2,2,2,2,2,3,4,5,3,2,4,3
"47",796526,364.579232168984,139.069279363956,263.114499162288,1,2,2,1,2,2,4,1,1,2,2,1,4,4,3,3,3,3
