"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",480,361.688738837212,117.402465233807,266.082973450634,2,2,2,2,2,2,4,2,2,2,2,3,4,5,3,3,4,4
"2",784,361.461793415533,130.118191663014,249.853345414617,2,1,2,2,4,2,4,2,4,2,2,1,5,5,3,3,4,4
"3",3541,363.451703113175,145.314307395674,254.9156074903,2,2,2,1,2,4,4,3,1,1,2,2,6,8,2,3,4,5
"4",5487,355.809982717817,141.668919119996,233.766323953807,2,2,1,2,2,2,2,2,1,2,2,2,6,5,3,3,4,4
"5",7156,364.089013727901,122.27573500863,276.076675180125,1,1,2,2,2,2,2,2,2,1,2,3,5,6,3,3,4,4
"6",7394,361.035723147211,118.992047793189,283.260181773776,1,2,1,2,2,3,1,1,2,2,1,1,5,5,2,3,3,4
"7",10127,368.135215905899,147.256789261042,250.181322673928,2,2,1,1,2,3,1,2,2,1,4,2,6,4,3,3,4,3
"8",11534,363.64604532566,132.569333177676,256.954830902178,1,2,1,2,4,2,4,1,2,4,1,1,5,6,3,3,3,4
"9",12670,352.25648056377,127.665821516454,263.801860280786,2,2,1,2,1,1,1,1,1,1,2,2,5,5,2,2,3,3
"10",16318,354.563053176281,136.793383436722,273.574925147429,2,1,2,1,1,2,2,1,2,2,2,1,6,6,3,3,4,4
"11",22574,356.935001143517,125.672603640512,278.758226354543,2,2,2,3,2,2,2,2,1,2,1,2,4,4,3,2,3,4
"12",23753,352.936863691038,129.778896525865,263.287888815065,2,1,4,4,4,2,1,1,6,2,2,1,6,5,3,3,3,3
"13",23784,367.589265034488,150.382762332029,261.554033416987,2,2,4,2,2,2,2,2,2,2,2,2,5,6,3,3,4,4
"14",30286,348.898123850568,142.877859182688,251.737171084814,2,2,2,2,2,4,7,2,2,2,2,2,5,5,2,2,3,4
"15",31627,357.54155974117,154.521121078978,236.2790408055,2,2,2,1,1,1,2,2,2,2,1,6,5,6,3,3,5,3
"16",33416,362.046319122405,109.250716282615,285.531981390341,1,2,4,1,6,4,4,2,4,2,1,4,6,4,3,2,4,4
"17",33434,367.628360671818,151.807457432866,259.924051208606,1,1,1,3,4,3,2,1,6,5,3,1,5,5,3,3,4,4
"18",33713,369.041958240725,162.972542432082,260.463160257338,2,2,2,1,2,4,1,4,4,1,1,4,5,5,3,3,4,4
