"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",4430,344.239201862852,123.956337287446,254.696902997846,2,1,2,1,4,6,1,2,1,2,1,2,4,5,3,3,4,3
"2",6200,352.619571186103,137.441798350736,272.330286828268,2,2,2,2,2,2,2,2,1,2,1,2,5,6,3,3,3,3
"3",7803,353.009727583526,145.165963727016,269.304430028653,2,2,1,2,2,2,2,2,2,1,4,1,3,4,3,3,4,3
"4",8211,375.711226369182,158.31692244951,255.851099516822,1,1,2,1,2,3,2,2,2,2,2,4,4,7,2,3,3,4
"5",12393,360.117726388891,145.847253959762,225.046184424369,2,2,3,1,1,2,3,2,2,1,1,2,7,5,3,3,4,3
"6",13135,362.762199275421,119.261640282931,270.869582231952,1,1,3,1,2,4,1,4,2,1,1,1,7,6,3,3,5,5
"7",14012,357.253249526888,136.512464238845,273.137267581977,1,1,1,1,2,2,1,2,2,1,2,1,6,5,3,2,4,5
"8",14778,369.11157577608,150.535078693823,263.665014117197,1,2,2,2,2,3,1,4,1,2,3,1,4,4,2,3,3,4
"9",15658,355.99739993479,161.35731101559,244.722781263661,1,4,1,3,3,3,1,1,4,1,3,4,4,5,2,3,4,4
"10",16832,366.137669993719,141.207192006569,301.353256368613,1,2,2,2,2,3,1,2,2,1,3,2,5,6,3,3,3,4
"11",17833,370.499417248959,135.467418546318,284.441020626203,2,2,1,2,2,2,1,1,2,1,2,2,4,5,3,3,5,4
"12",18138,372.994848523131,141.837993954108,266.804258580507,1,2,2,2,2,2,2,1,2,1,2,2,5,6,2,3,4,4
"13",20222,346.722005013138,146.008264228914,245.706705492477,2,2,2,3,2,3,2,2,4,2,2,3,5,6,2,3,3,4
"14",28253,369.673342513751,117.032523557548,273.722758937452,2,2,2,3,2,1,6,2,2,2,1,2,7,5,3,2,4,4
"15",29417,361.601076938351,138.302877592671,281.552132483107,1,2,1,2,1,2,2,2,2,2,2,2,4,4,3,2,4,4
"16",34727,354.846655275671,110.076832671135,279.056468114778,2,1,2,2,3,2,1,2,2,2,2,2,4,5,3,3,3,4
"17",35577,346.699312406501,127.528833233058,271.6614933003,2,2,2,2,2,2,2,2,3,2,2,2,4,7,2,3,4,5
"18",38102,358.270155235168,147.252299368877,244.886919425651,1,1,3,2,1,2,1,2,2,1,2,2,4,5,3,3,3,4
"19",42455,355.481491654757,112.664278586522,273.823705123576,2,1,1,3,2,1,2,1,2,1,2,2,4,4,2,3,4,3
"20",49745,353.176260632535,112.794554701226,258.724781180107,1,1,2,3,1,3,2,2,1,4,4,2,5,4,3,2,3,4
"21",53441,361.298187326326,157.178163898843,267.238680577296,2,2,1,2,1,2,2,2,2,2,2,2,5,3,3,3,4,3
"22",56295,365.506147419784,141.905509243718,266.67918014717,1,1,1,2,3,3,4,4,1,1,3,4,4,6,3,3,4,4
"23",56598,360.376777120285,123.085537683259,271.494121209354,1,2,1,4,6,1,1,6,2,2,4,1,6,6,3,3,4,4
"24",56623,351.15789577994,157.096590806342,240.576511428775,2,1,2,2,2,2,2,1,3,1,1,2,4,6,2,3,4,4
"25",57750,360.650537109479,154.974538031305,238.68001332397,1,2,2,1,2,1,2,2,4,3,1,2,5,5,3,3,4,4
"26",58644,365.116510330199,160.632324896494,258.597201061215,2,2,4,1,2,1,2,2,2,1,6,1,5,6,3,2,3,4
"27",65069,361.643036640294,162.273822252481,247.752742643958,2,1,2,2,4,3,4,2,2,2,2,1,6,4,3,3,4,5
"28",65626,363.434239279944,140.530223801334,289.083762061454,2,1,1,3,3,1,4,2,2,1,3,2,5,6,3,3,4,4
"29",66587,355.6539315237,107.841711367837,273.759621892112,2,1,2,2,2,2,2,2,1,2,2,1,5,5,3,3,3,4
"30",71017,359.462822362977,125.40717155604,273.409721906625,1,4,1,6,1,2,2,1,2,1,2,4,5,4,3,3,3,3
"31",76505,349.142704490834,118.996909467473,264.93457792163,2,1,1,1,1,2,2,1,2,1,1,3,5,4,3,3,5,4
"32",77962,369.119613751692,112.642930324393,291.954173920192,2,1,1,1,2,4,1,1,4,6,1,2,4,5,3,3,3,3
"33",79081,358.469589060204,125.384104071126,280.303348075168,1,1,2,2,2,2,2,1,2,2,5,2,5,8,2,3,3,5
"34",80539,364.721517220971,112.282333045095,272.224111610542,2,1,1,1,2,2,4,2,2,1,1,1,4,4,3,3,3,5
"35",80664,366.287021088902,108.507911887331,280.20051851935,1,4,1,2,1,2,1,1,2,4,1,2,4,5,2,2,4,3
"36",82305,357.887696499593,129.009705573772,278.789858359243,2,1,2,1,2,1,2,2,2,2,2,1,5,5,3,2,3,3
"37",82813,366.720849991082,168.653392916208,260.04363905867,4,1,2,2,2,1,4,1,1,1,1,4,5,4,2,3,4,5
"38",96725,344.437642043082,137.324072275935,231.848233346267,1,1,2,2,3,2,3,2,2,1,2,2,4,6,3,3,4,5
"39",98137,358.047252064227,147.865641492148,243.208035969888,1,2,2,2,2,2,4,2,2,6,2,2,4,5,3,2,5,4
