"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",500622,357.59067508688,128.90716757124,283.222950463802,2,4,4,2,4,1,2,1,1,4,2,1,6,5,3,3,4,4
"2",502899,355.6771681369,152.784026251719,241.196569469731,2,1,1,3,2,2,4,2,1,4,1,4,4,5,3,3,3,4
"3",502995,369.416515580274,145.633696491296,274.720293515826,1,6,1,1,1,1,4,2,1,4,2,6,6,4,3,3,4,5
"4",512940,351.647315801989,141.64902499132,256.495195128421,2,3,2,1,2,2,2,1,2,1,4,3,4,4,3,3,3,3
"5",513631,344.433131127338,128.409726466649,271.37220939709,1,1,1,1,2,6,4,2,1,1,2,1,5,5,3,3,5,4
"6",516981,367.181491818262,149.736904254989,256.638344113699,2,1,1,2,2,1,1,2,1,2,2,2,5,4,3,3,4,3
"7",519085,370.383540322932,123.909791233931,279.717980759783,1,2,2,2,4,3,2,2,1,2,1,1,8,6,3,3,5,4
"8",519168,348.425241279002,112.931413398715,270.236199103275,2,2,1,2,2,1,1,4,1,3,1,2,4,5,3,3,4,3
"9",520156,349.666358095072,116.828899402233,266.926213223402,2,2,2,2,2,5,2,2,2,4,6,2,6,7,3,3,4,4
"10",523562,355.710370622779,138.245380117988,238.695248146257,2,4,3,1,4,4,4,1,3,1,4,4,4,6,3,3,4,4
"11",527534,355.464194242444,130.668971700589,272.503150334356,1,1,2,4,1,1,3,2,3,4,1,1,5,4,2,2,4,4
"12",528008,355.333599511992,149.220564465841,251.915865530111,2,1,1,1,2,1,1,2,4,1,2,2,4,5,3,3,4,4
"13",531878,359.014053915847,158.477310209505,263.165629899367,2,2,2,1,4,4,2,2,2,2,4,1,7,5,3,2,5,4
"14",532177,360.653057798175,125.712843449921,276.335704330083,1,2,2,1,1,1,2,1,2,2,2,2,4,5,3,3,4,4
"15",532837,359.314521860493,121.078077398207,263.335188472037,1,6,5,2,2,2,2,1,2,1,2,6,4,4,3,3,3,3
"16",536656,366.37272715994,141.675102649491,278.388158767841,1,1,2,2,2,3,1,2,2,1,3,1,6,4,3,3,4,3
"17",540539,340.095028042419,136.025034156788,233.682308888806,1,1,2,2,4,2,2,2,2,1,2,1,7,6,3,3,4,5
"18",544177,352.445693607042,149.988649708311,236.223245019628,3,3,1,2,2,2,4,3,2,3,2,1,6,6,3,3,5,4
"19",545223,355.771469967696,123.162930453999,276.823809466605,1,1,2,1,1,2,1,2,2,1,2,1,4,5,3,3,4,5
"20",549675,351.893132725696,129.889718003294,277.513248883337,1,2,3,3,1,1,2,2,1,1,2,2,5,5,3,2,4,4
"21",551275,349.525652589594,133.381079605371,271.331671636501,2,2,1,2,2,2,1,2,2,2,2,2,5,5,3,3,5,5
"22",553032,351.07888026096,155.281243113294,247.812912636572,2,1,1,2,1,2,1,2,1,1,2,2,4,4,2,3,3,4
"23",567015,362.37175559941,137.255146375688,253.264797891929,2,2,1,1,1,1,1,4,1,2,2,2,6,6,3,3,4,4
"24",567977,368.489501067119,152.415699501546,255.374882434652,1,2,2,1,1,3,1,1,1,1,4,4,5,6,3,3,3,4
"25",569846,369.029529155093,117.975414163746,281.625417945643,1,4,4,4,1,2,1,4,1,1,2,2,5,5,3,3,3,3
"26",574670,347.864227337559,149.254677238892,275.822676298252,2,2,2,2,2,3,2,4,2,4,2,2,4,4,3,3,3,3
"27",575571,370.593983796886,161.821143997403,253.836317403672,1,2,2,2,3,1,4,1,2,1,1,2,6,4,3,3,4,4
"28",580031,364.565857511109,131.659653891425,272.397709969622,1,1,1,1,2,6,2,2,2,2,1,1,5,6,2,3,4,4
"29",580834,355.203724572833,127.297659895522,261.630140806659,2,1,1,1,4,1,2,1,1,3,2,2,5,4,3,2,4,3
"30",582736,362.872743670799,155.686429925058,254.127318907031,2,1,1,1,1,1,2,2,1,2,1,1,5,5,3,3,5,4
"31",586434,361.717733886886,163.047931907073,250.554228636444,2,1,1,2,2,2,2,2,2,2,6,4,5,5,3,3,5,5
"32",586576,354.471437495322,145.158733293039,234.091209178978,2,2,7,4,2,4,3,2,1,2,4,1,6,4,3,3,4,3
"33",593525,357.206424567177,131.691161371867,245.793637827943,1,4,2,1,2,2,2,2,2,2,1,2,5,5,3,2,3,5
"34",594462,348.766871389059,114.630848400239,255.516524347988,1,2,1,3,1,1,2,1,1,2,1,4,6,4,3,3,4,3
"35",597913,366.635518336379,149.566038925954,260.040143118438,2,2,3,2,2,1,1,1,1,2,1,1,7,7,3,3,4,4
"36",597951,356.942896560442,171.124525728445,246.832596264173,1,2,3,2,2,4,3,1,1,1,1,2,4,6,3,2,3,4
"37",599680,367.98749080428,147.298875344267,250.955199979387,1,2,1,2,3,3,2,2,1,2,1,1,6,4,3,2,3,4
