"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",201054,359.796430046742,144.732640375565,257.467674292881,1,2,1,1,1,2,2,4,2,2,2,1,6,5,3,3,4,4
"2",206282,363.650772441804,134.987051720642,283.539902012147,2,3,1,3,2,1,2,3,6,2,3,3,5,5,3,3,3,4
"3",207923,357.531250440185,117.4264672321,268.477464157293,2,2,5,1,4,4,2,3,4,1,4,2,5,7,3,3,4,4
"4",214458,346.80065486512,155.260484933605,246.748608978972,1,2,2,2,2,1,2,1,2,2,2,2,4,6,2,2,4,4
"5",215789,350.330257408917,111.841091518574,276.369916196594,1,4,2,1,3,2,1,1,2,1,2,4,5,5,3,2,3,4
"6",216179,360.053623187225,138.150833846785,249.913373421424,1,2,2,1,3,2,2,1,1,2,2,4,6,6,2,3,4,4
"7",222742,370.982011548487,143.937716098674,237.930401657833,1,1,2,2,1,2,1,2,1,4,2,1,5,4,3,2,4,4
"8",224783,362.666160265406,121.982453690129,263.613635383928,2,2,1,3,4,4,1,2,1,4,2,2,5,6,3,3,3,4
"9",230074,365.608402710101,146.446898959575,237.527345098247,2,4,3,3,1,3,1,2,1,1,1,2,6,5,3,3,4,4
"10",230913,357.426152576241,136.468989605576,244.163811696469,2,1,1,2,1,2,1,1,2,2,2,1,4,5,3,3,4,5
"11",231855,368.879585719148,136.551688515242,258.134502706638,1,2,2,2,2,2,2,2,2,2,2,2,5,6,3,3,4,4
"12",232231,365.915290743636,149.368865066451,293.626174886559,1,1,2,2,1,1,2,2,2,1,2,3,4,5,3,3,3,3
"13",236433,355.622722363402,112.197140547821,277.510955781051,2,4,1,2,2,2,1,1,1,1,2,1,4,5,3,3,5,5
"14",240862,362.36345390681,113.78114413351,267.388657603265,1,1,2,6,4,2,3,2,2,2,2,1,5,5,2,3,3,4
"15",243299,362.451775076628,127.260908542157,288.730392701256,2,2,4,2,2,2,2,2,2,2,2,2,7,4,3,3,4,4
"16",246934,363.571698795835,107.59297344104,276.701288948543,2,2,3,4,4,4,2,2,2,3,2,2,5,7,3,3,4,5
"17",248918,372.555880771624,142.687371376773,248.955935561375,4,1,2,4,1,1,2,1,4,2,4,4,6,5,3,3,4,4
"18",249615,355.663900216701,151.435827720376,251.179695973662,1,1,2,1,2,3,2,1,2,2,2,1,5,5,2,3,3,4
"19",252604,368.760532837385,118.578704204883,272.887195536184,1,2,2,2,2,2,2,2,2,2,2,2,6,4,3,3,4,4
"20",253502,357.57287877629,140.563682223861,282.473431793897,2,2,2,2,2,2,1,2,1,2,2,1,4,4,3,3,4,5
"21",255623,380.785551673953,133.790078570748,294.913798863889,1,1,4,4,2,4,5,1,1,5,2,1,5,6,3,3,4,4
"22",259684,370.156187717813,147.114673886487,266.03650405086,1,2,2,1,2,1,2,2,4,1,1,4,5,6,2,2,5,4
"23",261558,371.810824554905,147.87732239711,276.637215067551,2,2,2,2,2,2,2,3,2,2,2,4,4,6,3,3,3,4
"24",261589,353.322997405869,129.977175364379,267.733184068094,2,2,1,2,5,2,2,2,2,2,2,1,4,5,3,3,4,3
"25",263184,353.598478924218,124.814970494345,249.978478412486,2,4,1,2,2,1,1,4,4,2,2,2,6,5,3,3,5,4
"26",268175,371.369300056956,140.765616105944,279.890503974101,1,4,1,4,4,2,2,3,3,1,2,3,6,5,3,3,4,5
"27",269224,353.341732838465,119.547977851005,265.217515595242,1,2,1,2,2,2,1,6,1,2,2,1,5,4,3,3,4,5
"28",269482,364.91925972152,129.981181091789,273.480535515391,1,1,4,2,1,2,6,4,1,4,1,1,5,5,3,3,3,4
"29",270514,346.00472934235,137.165340295981,271.588197019551,1,2,3,3,4,2,4,1,2,2,2,1,5,6,3,2,4,4
"30",272647,360.500111759362,148.0687800867,277.584980659263,2,2,2,1,4,2,2,4,2,2,1,2,5,5,3,3,4,4
"31",275810,341.892714311337,135.287877939435,245.055770343227,2,2,2,2,1,2,5,4,2,2,1,2,5,4,2,3,5,5
"32",276573,361.79648176133,139.116218731137,267.020196097537,1,2,2,2,2,1,1,1,3,2,1,2,5,4,3,3,3,4
"33",279065,369.455954721722,135.688206032058,261.520316673596,1,2,2,2,2,2,2,2,4,2,2,2,6,4,3,3,4,4
"34",281580,363.527779242511,147.783290078568,244.073691622323,2,2,4,1,1,4,1,2,1,1,2,2,4,5,3,3,3,3
"35",283033,352.036789024168,142.819310220645,232.254882787235,2,4,2,2,2,2,2,2,2,2,4,2,5,4,3,3,4,3
"36",286368,357.105790284259,138.551479229542,238.995936892742,1,2,1,1,1,2,3,1,2,1,1,1,5,5,3,2,4,3
"37",287015,352.867240270613,148.906537884652,244.476739247434,3,1,4,2,2,2,2,1,2,6,2,2,6,5,3,2,4,5
"38",291703,366.820806569408,151.671186322026,283.847532114696,3,1,1,2,2,4,1,2,3,3,4,1,4,7,3,3,4,5
"39",295642,360.101087735694,138.745858399955,247.494285767577,1,2,1,4,2,2,2,1,2,1,4,1,6,4,3,3,4,4
"40",296761,359.385862753542,121.545692527135,265.131465908662,2,3,3,4,3,2,3,4,2,2,2,3,4,6,2,3,4,4
"41",298090,368.326256741165,139.067258833051,243.996951613528,1,2,2,1,4,2,2,2,4,2,2,1,5,5,3,2,4,3
