"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",801194,363.210932955193,129.762593140367,279.736180317299,2,1,1,1,1,2,1,2,1,1,4,4,5,4,3,3,4,3
"2",803589,353.690250626773,117.392328018853,276.138903841665,1,1,4,4,4,1,1,3,1,1,4,1,4,5,3,3,4,4
"3",804349,356.482911393663,141.429128354478,233.419956372753,2,3,4,2,4,2,1,2,6,1,2,2,7,5,3,3,5,5
"4",804500,354.498108726844,119.316857135504,257.523103352555,2,1,4,2,4,2,1,1,2,1,2,2,8,6,3,3,5,4
"5",807251,365.186491472123,130.408766120195,281.957707396571,1,2,4,4,3,2,1,3,2,1,2,2,6,4,3,3,4,4
"6",808951,370.60584751846,154.34082709734,251.288612838204,1,2,2,1,2,1,1,2,2,3,2,1,4,5,2,3,3,3
"7",811283,361.564232488331,131.083091432511,253.869264200661,2,2,1,3,1,1,4,2,1,4,2,3,5,5,2,2,4,4
"8",811350,371.635162780483,139.883717942635,246.03429848917,2,2,2,2,2,2,2,1,2,1,4,2,4,5,3,2,4,4
"9",814786,361.676468364469,147.703858284292,244.269530039637,2,1,2,2,1,1,2,2,2,2,1,2,4,5,3,3,3,3
"10",814976,351.927185368867,149.958396434335,232.174236367987,2,2,2,2,2,4,2,2,3,4,2,2,4,5,3,3,4,4
"11",822946,365.85398794583,154.704623916537,251.790973259321,2,2,1,2,1,4,2,4,2,6,3,2,7,5,3,3,4,3
"12",825920,355.127889895764,127.19978429214,267.463444632862,1,3,1,2,1,2,1,1,1,1,1,2,5,4,3,2,4,4
"13",826395,351.086436579959,135.029167341941,286.085117080347,2,4,2,2,2,2,2,2,2,2,2,3,4,4,3,3,3,3
"14",827491,349.302279758704,136.442522636717,233.699425518342,1,2,2,4,4,4,3,2,3,2,2,2,5,5,3,3,3,3
