"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",303481,352.496667823181,116.899688579922,264.516649478326,2,2,1,1,1,2,1,2,2,1,1,4,7,4,3,3,5,4
"2",304121,365.550643177211,109.711869070197,271.185551432566,2,1,2,2,1,2,2,1,3,4,1,1,6,5,3,3,5,4
"3",304435,357.426360675573,143.611217591739,240.428714886864,1,1,3,1,2,1,1,1,1,1,1,2,4,4,3,3,4,4
"4",308981,355.851626616051,122.338914157987,247.673105003649,2,4,3,2,1,3,2,2,1,2,2,2,4,4,2,2,5,5
"5",309203,364.969737226128,138.450396881678,252.23755692594,1,2,1,1,2,1,1,2,1,1,2,2,5,6,3,3,3,4
"6",313140,370.659675499402,123.270112603003,277.433634384159,2,3,4,3,4,2,4,2,2,3,4,2,5,5,2,2,4,4
"7",323336,359.202675356784,122.755081024597,294.949862667544,1,1,2,2,2,2,2,2,2,2,4,1,5,4,3,2,4,4
"8",324218,362.159934534203,145.317719736519,237.434323237479,2,1,2,1,2,2,2,2,1,2,1,1,5,5,3,2,3,4
"9",324810,366.478190978413,123.624130410833,288.29776847174,2,4,2,2,3,2,3,4,2,4,2,6,7,5,3,3,5,5
"10",325229,350.234561306968,152.018593904042,240.953717993469,2,2,2,2,2,2,1,1,4,2,6,2,5,6,2,3,5,4
"11",328627,352.331995014282,113.109323259687,249.295668992689,1,2,2,1,1,1,1,2,2,1,1,2,4,4,2,3,4,3
"12",328767,365.216317649809,162.775818050928,271.508854093637,2,1,2,2,1,1,1,1,1,3,2,2,4,5,2,3,4,4
"13",329172,367.583329508061,149.858941939875,268.925071748389,3,1,1,1,3,2,4,4,1,3,3,2,4,5,3,3,4,4
"14",329483,379.655890302419,136.4000557427,283.917343343516,1,2,1,2,2,2,2,2,2,1,1,4,5,5,3,3,4,4
"15",333878,369.767315711645,134.332263528883,277.507679887772,2,4,2,1,1,1,3,4,2,1,2,4,5,5,3,3,4,4
"16",334319,358.279497525476,138.117449122354,263.9289912016,1,6,2,1,1,2,4,2,1,2,2,4,6,5,3,3,4,4
"17",339792,356.552130112279,126.85014260018,277.125117191698,1,2,2,2,2,1,1,2,2,2,2,2,5,4,2,3,4,3
"18",342034,370.480523350173,154.515558605726,248.727239500264,1,4,2,2,4,3,2,4,3,2,2,6,6,5,3,3,4,4
"19",343891,366.215490010959,154.68694058251,243.499418771686,2,1,1,1,2,2,2,2,1,2,2,1,4,5,3,2,4,4
"20",346972,353.42155195804,137.285429875855,268.748553715117,2,2,1,4,1,2,4,1,1,1,1,1,4,6,3,3,4,5
"21",349870,360.343889927753,140.219603444321,252.992927742266,1,4,1,4,1,4,2,4,2,4,4,2,5,3,3,3,3,3
"22",350850,352.897381661399,128.650657734569,284.927045904041,2,6,3,2,4,2,4,2,6,2,4,3,4,6,2,3,4,4
"23",353494,353.598385434405,128.103522186918,259.217991162166,2,2,2,1,1,2,1,2,1,4,2,3,5,5,3,2,4,3
"24",353657,353.036017641354,109.710588473221,267.7304676457,1,3,2,1,4,2,4,2,1,1,1,1,5,6,3,3,4,4
"25",358200,378.265768654179,154.194360553317,299.002225039401,2,1,2,1,1,2,1,1,1,1,2,1,4,4,2,3,3,4
"26",358587,356.478066043688,148.682867342954,282.013158358973,1,1,1,4,1,1,1,1,1,1,1,1,4,4,2,2,3,4
"27",358920,360.226719242477,159.472632953611,251.36348841028,2,2,4,2,2,2,2,2,2,2,2,2,5,5,3,3,4,5
"28",359097,357.676662701556,166.066998328639,257.537576492801,2,1,3,2,2,2,2,2,2,2,2,1,4,5,3,3,3,4
"29",361147,355.912167640248,120.661400429959,274.055673899838,1,2,2,2,3,2,2,2,4,2,2,2,5,5,3,2,3,4
"30",362487,363.50286185739,101.5435419369,276.084248729793,1,6,2,2,2,1,2,2,1,1,2,2,5,6,3,3,4,4
"31",364229,351.761494141031,133.515591685542,257.934740929779,2,2,1,2,1,1,4,4,1,4,2,6,4,4,3,3,4,4
"32",371156,369.033739414767,158.937640455995,252.732995357054,1,4,2,2,1,2,2,1,1,2,8,1,6,4,3,3,4,3
"33",377603,354.175867973166,112.498741958072,264.098059674748,1,2,1,1,1,6,2,2,1,1,4,2,6,5,3,3,4,4
"34",380002,349.069530595385,106.059238086416,273.161563309009,2,2,4,1,2,4,2,2,1,2,2,4,6,6,3,3,5,5
"35",382158,359.366568532066,135.434653817055,244.316790693714,1,1,1,2,2,1,1,2,1,1,4,2,3,4,2,2,3,3
"36",382712,348.629856523368,143.898839582041,232.936908423258,1,1,2,1,1,1,1,2,4,1,1,4,4,5,3,3,4,4
"37",382785,361.226286075731,118.45771990444,280.475835349279,2,2,2,1,1,5,4,4,4,2,5,4,6,5,3,3,4,4
"38",383875,357.99679115788,141.952791593974,238.468148504658,4,2,1,2,2,2,4,1,2,4,4,2,6,6,3,3,4,4
"39",384511,364.15031861232,143.252998180154,255.642085801728,4,1,1,4,1,1,1,2,1,1,2,3,4,4,2,3,3,3
"40",388451,345.795334299265,141.140045333329,239.994249242396,1,1,2,4,1,1,4,1,2,2,1,1,4,6,3,3,4,4
"41",388966,372.992433397651,147.718069643404,255.027206456601,2,1,2,4,4,1,1,2,3,1,2,1,6,5,3,2,4,3
"42",391577,372.619740586003,145.122177081905,254.090112212118,1,2,6,2,2,2,4,2,1,2,1,2,6,4,3,2,4,4
"43",392985,360.615406041367,108.696788064492,282.180734534002,1,4,1,1,2,1,2,2,2,2,2,2,4,6,3,3,4,4
"44",397359,351.069558222788,140.561506786469,240.678517446677,2,3,3,1,1,3,2,1,3,1,1,1,5,4,3,3,5,4
"45",398678,351.853345670471,151.987059040244,221.727440456159,1,1,2,1,4,4,1,3,4,2,2,1,5,4,3,3,4,3
"46",398833,370.65477020765,131.316285898394,267.230516147259,1,2,1,2,2,4,1,2,2,2,1,1,4,5,3,2,4,3
"47",399887,358.018306009646,135.192424845245,276.355442462262,2,2,3,1,2,1,2,2,1,2,2,2,4,6,3,3,3,4
