"","Schedule","RMSE_Total_Dist","RMSE_NonCon_Dist","RMSE_Con_Dist","min_bye_dist","min_0_dist","min_1_dist","min_2_dist","min_3_dist","min_4_dist","min_5_dist","min_6_dist","min_7_dist","min_8_dist","min_9_dist","min_10_dist","max_away_streak","max_home_streak","max_away_streak_nc","max_home_streak_nc","max_away_streak_c","max_home_streak_c"
"1",4662,356.697756169279,145.933019844694,249.330309641217,4,2,4,6,2,2,2,3,2,2,4,2,4,6,3,3,4,3
"2",7868,364.886646046152,121.55242381597,273.75298028492,2,1,1,1,1,2,2,1,2,2,4,1,5,4,2,3,4,3
"3",7874,359.072404586508,142.074942393789,240.653964393925,2,1,1,3,2,1,2,1,4,4,2,4,6,5,3,2,5,3
"4",14237,357.101786540495,161.255507946164,247.540563501242,1,2,2,3,1,2,2,1,4,3,2,2,4,6,3,3,4,3
"5",20452,370.372048817746,122.672378295581,286.834389399439,1,2,2,1,2,1,1,1,1,2,1,1,7,6,3,3,5,4
"6",22459,365.559166390656,144.823003971534,263.440115044911,1,2,2,6,1,3,2,1,2,1,1,2,4,5,3,3,3,4
"7",24635,369.800884551235,140.820500010263,272.955147225133,6,2,2,1,2,4,1,1,2,2,1,2,5,4,3,2,4,4
"8",25115,356.325972035589,137.683731491253,283.940076322714,1,1,2,2,3,2,2,1,1,2,2,2,5,4,3,3,3,3
"9",25584,359.835660377538,123.674125249376,278.496880407473,1,4,2,4,2,2,2,2,3,4,2,3,4,4,3,2,3,4
"10",25735,346.768053091152,134.288083075895,247.184075017281,2,2,1,4,1,2,1,2,1,5,2,2,4,4,2,3,4,3
"11",25979,365.283542081631,149.124275645439,245.9899547771,1,1,1,2,2,1,2,2,1,2,2,1,4,5,2,2,4,3
"12",27090,368.824780903161,138.199520397202,265.951061178836,2,4,1,2,2,2,1,5,2,1,4,1,5,4,3,3,4,3
"13",31494,347.263017474918,112.078927325404,261.59712890481,1,2,2,1,1,4,1,2,1,1,1,4,4,4,3,3,4,3
"14",32098,366.324856959566,149.303894432001,241.520117054768,2,1,1,2,2,4,6,6,1,4,1,6,5,6,3,3,4,5
"15",33596,347.429545744455,131.176053549394,274.367973940048,1,6,2,1,1,2,6,2,1,1,3,3,4,5,3,3,5,5
"16",36349,357.738304092357,132.102764906219,237.875375385676,3,1,1,1,6,1,2,1,4,1,4,1,5,5,3,3,3,3
"17",36647,354.592677507797,143.974745260158,236.065021159163,1,2,2,1,4,4,2,6,1,2,2,2,5,5,3,3,4,3
"18",36937,344.297464123181,133.922883940629,244.09566611244,1,2,3,2,2,2,2,2,2,2,2,2,4,6,3,3,3,5
"19",37075,356.814024295408,154.49876300021,250.599941297903,1,1,1,2,1,4,2,2,1,1,2,2,5,5,3,3,4,4
"20",37889,354.129872987508,142.480620691823,242.013830627252,1,2,2,4,2,4,1,1,2,4,4,4,4,6,3,2,3,4
"21",38218,361.088093919265,142.181876307824,278.825725362577,2,4,1,2,6,2,2,2,2,1,2,2,4,4,3,3,3,3
"22",38700,371.596132851801,145.165622139815,260.341320780596,1,2,2,1,2,2,5,3,2,1,4,2,7,5,2,3,5,4
"23",46747,366.782931729742,119.631597031321,276.202764182672,2,2,2,1,2,1,3,2,2,2,4,2,5,6,3,3,3,4
"24",49664,372.457796155961,123.745406459532,276.974832523173,1,4,2,2,2,1,2,4,1,2,2,2,4,6,3,3,4,4
"25",50750,362.727910685244,145.021913419665,273.021417135865,2,2,2,2,1,2,2,1,2,2,4,2,6,6,3,3,4,4
"26",51027,356.765983443137,122.743837265978,285.313167073981,2,2,2,3,2,2,2,4,4,2,2,2,4,5,2,3,3,4
"27",57739,350.365476241808,153.963395885929,233.484988102922,1,2,2,1,1,2,2,1,4,2,2,1,4,6,3,3,4,4
"28",62253,365.817345923498,145.597997443317,268.352826833297,1,2,1,2,2,2,2,2,2,4,2,1,6,6,3,3,4,4
"29",64479,347.485632023556,131.976206220153,261.19335164232,2,2,1,1,1,1,1,2,1,2,1,1,5,5,3,3,4,4
"30",66503,361.159107356365,136.14570464235,273.65067917854,2,4,1,2,2,1,1,3,2,2,1,2,6,4,3,3,3,5
"31",72117,355.338716305703,139.234269553806,249.630570018184,3,3,2,2,1,2,1,1,2,2,1,4,6,5,2,3,4,5
"32",76993,353.82026066847,114.170381592854,283.366392496877,1,1,1,1,4,3,1,1,1,3,1,2,6,4,2,2,4,5
"33",77475,358.452943071603,116.530916693616,265.427894054391,2,3,3,2,2,2,1,2,2,3,2,1,5,6,3,2,5,4
"34",78324,354.289418040586,108.788748202823,259.942937158355,2,2,1,2,6,1,1,1,2,2,2,2,6,6,3,3,5,4
"35",78762,348.015887354643,128.901140926803,263.759814356587,1,1,2,2,1,4,2,2,2,1,1,2,4,4,2,3,3,3
"36",78867,357.343180654578,151.310036919985,229.365059628777,1,1,1,1,2,2,1,3,2,1,1,3,4,4,2,3,3,4
"37",84358,349.47086330268,147.222831053716,279.447773029666,2,2,2,3,2,2,2,2,2,2,1,1,6,5,3,2,4,4
"38",85800,347.717064615462,142.387609731179,247.718615361652,3,1,6,2,2,1,2,1,2,1,2,2,4,4,2,3,4,5
"39",88323,370.950732956537,156.659498106905,244.356229595541,1,1,1,2,3,2,2,4,3,4,4,4,5,6,3,3,3,3
"40",90198,367.909416627212,142.00069840359,264.75127888156,1,1,2,1,2,2,3,1,2,1,2,4,3,6,2,3,3,4
"41",91007,355.200187997865,142.201172828212,273.574925147429,1,2,2,2,2,2,2,4,4,2,6,2,4,6,3,3,4,4
"42",91624,349.187652314519,123.240609921747,262.646259922428,1,2,1,2,1,1,1,1,2,3,4,2,5,4,3,3,3,4
"43",91648,364.077437045046,137.870462619119,285.336426053629,2,1,2,2,1,4,1,2,1,1,1,1,4,4,3,3,3,3
"44",92925,371.474079493492,131.880424176569,270.470908595905,1,1,3,2,3,1,2,1,1,2,1,1,5,6,3,3,5,4
"45",93836,353.978240915063,154.07720507579,275.136600183128,2,1,1,2,1,2,1,4,2,2,2,4,4,5,3,3,3,4
"46",94547,350.628290853872,144.27710940243,237.456529297017,1,2,2,2,2,2,2,2,2,2,1,1,6,4,2,3,4,4
"47",94617,356.404009772362,133.176450403774,283.049246656934,1,2,3,3,2,2,2,2,4,2,2,3,4,5,3,3,3,3
"48",95571,361.159244655318,157.552772216352,271.763539658291,2,4,1,4,1,1,2,2,1,2,1,2,5,5,3,3,4,4
"49",97457,357.972158296846,162.114488673951,262.877371404794,1,2,1,3,2,7,1,1,1,3,4,2,8,6,3,3,5,3
"50",97784,360.949093272007,143.148538700999,247.365323571808,2,1,2,3,1,2,2,1,1,1,4,2,5,6,3,3,3,4
